,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Chelsea FC,18,0,3,47,9,38,55,11,5,1,25,13,12,36,29,5,4,72,22,50,91,1
1,Manchester United FC,13,1,3,37,8,29,44,12,4,5,35,26,9,39,25,5,8,72,34,38,83,2
2,Liverpool FC,15,1,4,32,8,24,48,10,5,3,25,17,8,34,25,6,7,57,25,32,82,3
3,Arsenal FC,14,2,4,48,13,35,45,6,9,3,20,18,2,22,20,11,7,68,31,37,67,4
4,Tottenham Hotspur FC,12,2,6,31,16,15,41,6,7,5,22,22,0,24,18,9,11,53,38,15,65,5
5,Blackburn Rovers FC,13,3,3,31,17,14,42,6,10,3,20,25,-5,21,19,13,6,51,42,9,63,6
6,Newcastle United FC,11,3,2,28,15,13,38,6,11,5,19,27,-8,20,17,14,7,47,42,5,58,7
7,Bolton Wanderers FC,11,3,6,29,13,16,38,4,9,5,20,28,-8,18,15,12,11,49,41,8,56,8
8,West Ham United FC,9,7,4,30,25,5,30,7,8,3,22,30,-8,25,16,15,7,52,55,-3,55,9
9,Wigan Athletic FC,7,9,3,24,26,-2,24,8,8,3,21,26,-5,27,15,17,6,45,52,-7,51,10
10,Everton FC,8,7,4,22,22,0,28,6,9,4,12,27,-15,22,14,16,8,34,49,-15,50,11
11,Fulham FC,13,4,4,31,21,10,41,1,14,2,17,37,-20,7,14,18,6,48,58,-10,48,12
12,Charlton Athletic FC,8,7,4,22,21,1,28,5,10,4,19,34,-15,19,13,17,8,41,55,-14,47,13
13,Middlesbrough FC,7,7,4,28,30,-2,26,5,10,5,20,28,-8,19,12,17,9,48,58,-10,45,14
14,Manchester City FC,9,8,2,26,20,6,29,4,13,2,17,28,-11,14,13,21,4,43,48,-5,43,15
15,Aston Villa FC,6,7,6,20,20,0,24,4,9,6,22,35,-13,18,10,16,12,42,55,-13,42,16
16,Portsmouth FC,5,7,1,17,24,-7,22,5,13,7,20,38,-18,16,10,20,8,37,62,-25,38,17
17,Birmingham City FC,6,8,5,19,20,-1,23,2,12,5,9,30,-21,11,8,20,10,28,50,-22,34,18
18,West Bromwich Albion FC,6,11,7,21,24,-3,20,1,11,2,10,34,-24,10,7,22,9,31,58,-27,30,19
19,Sunderland AFC,1,14,2,12,37,-25,7,2,15,4,14,32,-18,8,3,29,6,26,69,-43,15,20
