,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Manchester United FC,17,1,5,47,7,40,52,10,4,1,33,15,18,35,27,5,6,80,22,58,87,1
1,Chelsea FC,12,0,3,36,13,23,43,13,3,7,29,13,16,42,25,3,10,65,26,39,85,2
2,Arsenal FC,14,0,6,37,11,26,47,10,3,5,37,20,17,36,24,3,11,74,31,43,83,3
3,Liverpool FC,12,1,7,43,13,30,42,9,3,6,24,15,9,34,21,4,13,67,28,39,76,4
4,Everton FC,11,4,4,34,17,17,37,8,7,4,21,16,5,28,19,11,8,55,33,22,65,5
5,Aston Villa FC,10,6,9,34,22,12,33,6,4,3,37,29,8,27,16,10,12,71,51,20,60,6
6,Blackburn Rovers FC,8,4,6,26,19,7,31,7,6,7,24,29,-5,27,15,10,13,50,48,2,58,7
7,Portsmouth FC,7,4,1,24,14,10,29,9,9,8,24,26,-2,28,16,13,9,48,40,8,57,8
8,Manchester City FC,11,4,6,28,20,8,37,4,9,4,17,33,-16,18,15,13,10,45,53,-8,55,9
9,West Ham United FC,7,5,3,24,24,0,28,6,10,7,18,26,-8,21,13,15,10,42,50,-8,49,10
10,Tottenham Hotspur FC,8,6,8,46,34,12,29,3,8,5,20,27,-7,17,11,14,13,66,61,5,46,11
11,Newcastle United FC,8,6,5,25,26,-1,29,3,11,5,20,39,-19,14,11,17,10,45,65,-20,43,12
12,Middlesbrough FC,7,7,7,27,23,4,26,3,9,5,16,30,-14,16,10,16,12,43,53,-10,42,13
13,Wigan Athletic FC,8,6,5,21,17,4,29,2,12,5,13,34,-21,11,10,18,10,34,51,-17,40,14
14,Sunderland AFC,9,7,3,23,21,2,30,2,14,3,13,38,-25,9,11,21,6,36,59,-23,39,15
15,Bolton Wanderers FC,7,7,5,23,18,5,26,2,12,5,13,36,-23,11,9,19,10,36,54,-18,37,16
16,Fulham FC,5,9,7,22,31,-9,20,3,9,5,16,29,-13,16,8,18,12,38,60,-22,36,17
17,Reading FC,8,9,4,19,25,-6,26,2,13,2,22,41,-19,10,10,22,6,41,66,-25,36,18
18,Birmingham City FC,6,5,3,30,23,7,26,2,14,8,16,39,-23,9,8,19,11,46,62,-16,35,19
19,Derby County FC,1,13,3,12,43,-31,8,0,16,5,8,46,-38,3,1,29,8,20,89,-69,11,20
