,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Manchester United FC,16,3,5,45,19,26,48,12,2,0,41,24,17,41,28,5,5,86,43,43,89,1
1,Manchester City FC,14,2,6,41,15,26,45,9,4,3,25,19,6,33,23,6,9,66,34,32,78,2
2,Chelsea FC,12,2,4,41,16,25,41,10,5,5,34,23,11,34,22,7,9,75,39,36,75,3
3,Arsenal FC,11,3,5,47,23,24,38,10,4,5,25,14,11,35,21,7,10,72,37,35,73,4
4,Tottenham Hotspur FC,11,3,4,29,18,11,38,10,5,5,37,28,9,34,21,8,9,66,46,20,72,5
5,Everton FC,12,1,9,33,17,16,42,4,6,6,22,23,-1,21,16,7,15,55,40,15,63,6
6,Liverpool FC,9,4,7,33,16,17,33,7,5,6,38,27,11,28,16,9,13,71,43,28,61,7
7,West Bromwich Albion FC,9,6,3,32,25,7,31,5,11,4,21,32,-11,18,14,17,7,53,57,-4,49,8
8,Swansea City AFC,6,5,5,28,26,2,26,5,9,8,19,25,-6,20,11,14,13,47,51,-4,46,9
9,West Ham United FC,9,4,4,34,22,12,33,3,12,6,11,31,-20,13,12,16,10,45,53,-8,46,10
10,Norwich City FC,8,4,7,25,20,5,31,2,10,7,16,38,-22,13,10,14,14,41,58,-17,44,11
11,Fulham FC,7,9,7,28,30,-2,24,4,8,3,22,30,-8,19,11,17,10,50,60,-10,43,12
12,Stoke City FC,7,5,8,21,22,-1,28,2,9,7,13,23,-10,14,9,14,15,34,45,-11,42,13
13,Southampton FC,6,6,7,26,24,2,25,3,9,7,23,36,-13,16,9,15,14,49,60,-11,41,14
14,Aston Villa FC,5,9,6,23,28,-5,20,5,8,5,24,41,-17,21,10,17,11,47,69,-22,41,15
15,Newcastle United FC,9,9,7,24,31,-7,28,2,10,1,21,37,-16,13,11,19,8,45,68,-23,41,16
16,Sunderland AFC,5,6,4,20,19,1,23,4,11,8,21,35,-14,16,9,17,12,41,54,-13,39,17
17,Wigan Athletic FC,4,9,3,26,39,-13,18,5,11,6,21,34,-13,18,9,20,9,47,73,-26,36,18
18,Reading FC,4,7,2,23,33,-10,20,2,15,8,20,40,-20,8,6,22,10,43,73,-30,28,19
19,Queens Park Rangers FC,2,9,5,13,28,-15,14,2,12,8,17,32,-15,11,4,21,13,30,60,-30,25,20
