,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Leicester City FC,12,1,6,35,18,17,42,11,2,6,33,18,15,39,23,3,12,68,36,32,81,1
1,Arsenal FC,12,3,7,31,11,20,40,8,4,4,34,25,9,31,20,7,11,65,36,29,71,2
2,Tottenham Hotspur FC,10,3,7,35,15,20,36,9,3,6,34,20,14,34,19,6,13,69,35,34,70,3
3,Manchester City FC,12,5,7,47,21,26,38,7,5,2,24,20,4,28,19,10,9,71,41,30,66,4
4,Manchester United FC,12,2,4,27,9,18,41,7,8,5,22,26,-4,25,19,10,9,49,35,14,66,5
5,Southampton FC,11,5,6,39,22,17,36,7,6,3,20,19,1,27,18,11,9,59,41,18,63,6
6,West Ham United FC,9,3,7,34,26,8,34,7,5,7,31,25,6,28,16,8,14,65,51,14,62,7
7,Liverpool FC,8,3,4,33,22,11,32,8,7,8,30,28,2,28,16,10,12,63,50,13,60,8
8,Stoke City FC,8,7,5,22,24,-2,28,6,8,4,19,31,-12,23,14,15,9,41,55,-14,51,9
9,Chelsea FC,5,5,5,32,30,2,24,7,7,9,27,23,4,26,12,12,14,59,53,6,50,10
10,Everton FC,6,8,9,35,30,5,23,5,5,5,24,25,-1,24,11,13,14,59,55,4,47,11
11,Swansea City AFC,8,5,5,20,20,0,30,4,10,6,22,32,-10,17,12,15,11,42,52,-10,47,12
12,Watford FC,6,7,3,20,19,1,24,6,10,6,20,31,-11,21,12,17,9,40,50,-10,45,13
13,West Bromwich Albion FC,6,8,8,20,26,-6,23,4,7,5,14,22,-8,20,10,15,13,34,48,-14,43,14
14,Crystal Palace FC,6,10,6,19,23,-4,21,5,8,3,20,28,-8,21,11,18,9,39,51,-12,42,15
15,AFC Bournemouth,5,9,4,23,34,-11,20,6,9,5,22,33,-11,22,11,18,9,45,67,-22,42,16
16,Sunderland AFC,6,7,6,23,20,3,24,3,10,6,25,42,-17,15,9,17,12,48,62,-14,39,17
17,Newcastle United FC,7,5,3,32,24,8,28,2,14,7,12,41,-29,9,9,19,10,44,65,-21,37,18
18,Norwich City FC,6,8,2,26,30,-4,23,3,14,5,13,37,-24,11,9,22,7,39,67,-28,34,19
19,Aston Villa FC,2,12,3,14,35,-21,11,1,15,5,13,41,-28,6,3,27,8,27,76,-49,17,20
