,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Manchester City FC,16,1,2,61,14,47,50,16,1,2,45,13,32,50,32,2,4,106,27,79,100,1
1,Manchester United FC,15,2,4,38,9,29,47,10,5,2,30,19,11,34,25,7,6,68,28,40,81,2
2,Tottenham Hotspur FC,13,2,4,40,16,24,43,10,5,4,34,20,14,34,23,7,8,74,36,38,77,3
3,Liverpool FC,12,0,5,45,10,35,43,9,5,7,39,28,11,32,21,5,12,84,38,46,75,4
4,Chelsea FC,11,4,3,30,16,14,37,10,6,4,32,22,10,33,21,10,7,62,38,24,70,5
5,Arsenal FC,15,2,4,54,20,34,47,4,11,2,20,31,-11,16,19,13,6,74,51,23,63,6
6,Burnley FC,7,7,7,16,17,-1,26,7,5,5,20,22,-2,28,14,12,12,36,39,-3,54,7
7,Everton FC,10,5,6,28,22,6,34,3,10,4,16,36,-20,15,13,15,10,44,58,-14,49,8
8,Leicester City FC,7,6,5,25,22,3,27,5,9,6,31,38,-7,20,12,15,11,56,60,-4,47,9
9,Newcastle United FC,8,7,4,21,17,4,28,4,11,4,18,30,-12,16,12,18,8,39,47,-8,44,10
10,Crystal Palace FC,7,7,6,29,27,2,26,4,9,5,16,28,-12,18,11,16,11,45,55,-10,44,11
11,AFC Bournemouth,7,7,6,26,30,-4,26,4,9,5,19,31,-12,18,11,16,11,45,61,-16,44,12
12,West Ham United FC,7,6,6,24,26,-2,27,3,10,6,24,42,-18,15,10,16,12,48,68,-20,42,13
13,Watford FC,7,6,2,27,31,-4,27,4,13,6,17,33,-16,14,11,19,8,44,64,-20,41,14
14,Brighton & Hove Albion FC,7,4,5,24,25,-1,29,2,12,8,10,29,-19,11,9,16,13,34,54,-20,40,15
15,Huddersfield Town AFC,6,8,5,16,25,-9,23,3,11,5,12,33,-21,14,9,19,10,28,58,-30,37,16
16,Southampton FC,4,8,8,20,26,-6,19,3,8,7,17,30,-13,17,7,16,15,37,56,-19,36,17
17,Swansea City AFC,6,10,6,17,24,-7,21,2,11,3,11,32,-21,12,8,21,9,28,56,-28,33,18
18,Stoke City FC,5,9,7,20,30,-10,20,2,10,5,15,38,-23,13,7,19,12,35,68,-33,33,19
19,West Bromwich Albion FC,3,7,4,21,29,-8,18,3,12,9,10,27,-17,13,6,19,13,31,56,-25,31,20
