year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2014,13,west bromwich albion,44,-13,38,51,11,11,16,"24,80",£5.63m,£1.13m,"26,00",£18.14m,£2.02m,"27,45",£41.13m,£3.74m,"23,11",£25.65m,£2.85m,/west-bromwich-albion/startseite/verein/984/saison_id/2014
2014,14,leicester city,41,-9,46,55,11,8,19,"28,60",£4.86m,£972k,"28,20",£14.76m,£1.48m,"24,36",£14.13m,£1.28m,"24,18",£16.52m,£1.50m,/leicester-city/startseite/verein/1003/saison_id/2014
2014,15,newcastle united,39,-23,40,63,10,9,19,"23,00",£9.90m,£1.98m,"23,46",£30.02m,£2.31m,"23,42",£53.78m,£4.48m,"21,67",£32.18m,£2.68m,/newcastle-united/startseite/verein/762/saison_id/2014
2014,16,sunderland,38,-22,31,53,7,17,14,"22,50",£5.18m,£1.29m,"27,11",£13.91m,£1.55m,"24,36",£48.15m,£4.38m,"24,00",£36.50m,£3.65m,/afc-sunderland/startseite/verein/289/saison_id/2014
2014,17,aston villa,38,-26,31,57,10,8,20,"29,33",£6.30m,£2.10m,"24,54",£30.15m,£2.32m,"24,45",£34.88m,£3.17m,"22,64",£42.98m,£3.91m,/aston-villa/startseite/verein/405/saison_id/2014
2014,18,hull city,35,-18,33,51,8,11,19,"28,40",£2.61m,£522k,"26,00",£25.07m,£2.09m,"25,67",£40.05m,£4.45m,"25,22",£42.30m,£4.70m,/hull-city/startseite/verein/3008/saison_id/2014
2014,19,burnley,33,-25,28,53,7,12,19,"28,33",£1.85m,£615k,"25,73",£8.46m,£769k,"26,00",£12.42m,£1.38m,"23,43",£10.35m,£1.48m,/fc-burnley/startseite/verein/1132/saison_id/2014
2014,20,queens park rangers,30,-31,42,73,8,6,24,"29,67",£3.60m,£1.20m,"25,21",£25.83m,£1.85m,"23,79",£39.20m,£2.80m,"25,20",£34.92m,£3.49m,/queens-park-rangers/startseite/verein/1039/saison_id/2014
2013,1,manchester city,86,65,102,37,27,5,6,"29,00",£24.53m,£8.18m,"25,73",£134.78m,£12.25m,"25,63",£163.80m,£20.48m,"23,33",£114.30m,£19.05m,/manchester-city/startseite/verein/281/saison_id/2013
2013,2,liverpool,84,51,101,50,26,6,6,"26,50",£15.30m,£3.83m,"23,93",£89.10m,£6.36m,"22,00",£51.30m,£5.70m,"21,44",£100.35m,£11.15m,/fc-liverpool/startseite/verein/31/saison_id/2013
2013,3,chelsea,82,44,71,27,25,7,6,"28,00",£40.50m,£6.75m,"23,62",£112.57m,£8.66m,"23,71",£167.40m,£11.96m,"22,19",£204.21m,£12.76m,/fc-chelsea/startseite/verein/631/saison_id/2013
2013,4,arsenal,79,27,68,41,24,7,7,"26,00",£21.15m,£7.05m,"25,22",£82.17m,£9.13m,"23,41",£134.55m,£7.91m,"21,83",£69.21m,£5.77m,/fc-arsenal/startseite/verein/11/saison_id/2013
2013,5,everton,72,22,61,39,21,9,8,"25,00",£4.95m,£1.65m,"26,27",£51.30m,£4.66m,"24,29",£49.95m,£7.14m,"24,23",£89.55m,£6.89m,/fc-everton/startseite/verein/29/saison_id/2013
2013,6,tottenham hotspur,69,4,55,51,21,6,11,"30,00",£15.30m,£3.83m,"22,08",£69.30m,£5.78m,"20,79",£90.00m,£6.43m,"23,64",£91.80m,£8.35m,/tottenham-hotspur/startseite/verein/148/saison_id/2013
2013,7,manchester united,64,21,64,43,19,7,12,"23,50",£21.83m,£5.46m,"25,67",£141.30m,£11.78m,"27,63",£121.50m,£15.19m,"21,92",£175.95m,£13.53m,/manchester-united/startseite/verein/985/saison_id/2013
2013,8,southampton,56,8,54,46,15,11,12,"27,50",£4.73m,£1.18m,"21,75",£24.98m,£2.08m,"23,44",£31.95m,£3.55m,"23,00",£30.60m,£3.06m,/fc-southampton/startseite/verein/180/saison_id/2013
2013,9,stoke city,50,-7,45,52,13,11,14,"25,25",£9.90m,£2.48m,"25,00",£31.50m,£4.50m,"24,91",£31.50m,£2.86m,"26,55",£45.00m,£4.09m,/stoke-city/startseite/verein/512/saison_id/2013
2013,10,newcastle united,49,-16,43,59,15,4,19,"24,00",£7.88m,£2.63m,"23,46",£49.23m,£3.79m,"23,77",£66.96m,£5.15m,"24,38",£45.90m,£5.74m,/newcastle-united/startseite/verein/762/saison_id/2013
2013,11,crystal palace,45,-15,33,48,13,6,19,"28,40",£4.50m,£900k,"24,73",£13.28m,£885k,"23,82",£17.78m,£1.62m,"27,00",£22.50m,£1.61m,/crystal-palace/startseite/verein/873/saison_id/2013
2013,12,swansea city,42,0,54,54,11,9,18,"25,50",£8.39m,£2.10m,"25,42",£22.73m,£1.89m,"22,67",£26.62m,£2.96m,"25,18",£49.05m,£4.46m,/swansea-city/startseite/verein/2288/saison_id/2013
2013,13,west ham united,40,-11,40,51,11,7,20,"27,25",£4.50m,£1.13m,"25,23",£30.83m,£2.37m,"24,87",£44.10m,£2.94m,"22,00",£36.00m,£2.77m,/west-ham-united/startseite/verein/379/saison_id/2013
2013,14,sunderland,38,-19,41,60,10,8,20,"23,40",£3.15m,£630k,"26,60",£20.43m,£2.04m,"25,21",£55.40m,£3.96m,"22,30",£57.15m,£5.72m,/afc-sunderland/startseite/verein/289/saison_id/2013
2013,15,aston villa,38,-22,39,61,10,8,20,"28,33",£4.95m,£1.65m,"23,50",£31.28m,£2.61m,"22,20",£18.68m,£1.87m,"24,09",£49.77m,£4.52m,/aston-villa/startseite/verein/405/saison_id/2013
2013,16,hull city,37,-15,38,53,10,7,21,"30,00",£4.64m,£1.16m,"26,70",£14.40m,£1.44m,"25,13",£15.30m,£1.91m,"25,25",£28.58m,£2.38m,/hull-city/startseite/verein/3008/saison_id/2013
2013,17,west bromwich albion,36,-16,43,59,7,15,16,"28,25",£7.65m,£1.91m,"27,10",£16.38m,£1.64m,"26,00",£32.85m,£3.65m,"24,80",£27.00m,£2.70m,/west-bromwich-albion/startseite/verein/984/saison_id/2013
2013,18,norwich city,33,-34,28,62,8,9,21,"31,00",£6.08m,£2.03m,"25,50",£23.40m,£2.34m,"26,33",£25.65m,£2.85m,"23,40",£31.95m,£3.20m,/norwich-city/startseite/verein/1123/saison_id/2013
2013,19,fulham,32,-45,40,85,9,5,24,"24,20",£8.55m,£1.71m,"27,36",£29.25m,£2.66m,"25,16",£55.44m,£2.92m,"22,69",£40.28m,£3.10m,/fc-fulham/startseite/verein/931/saison_id/2013
2013,20,cardiff city,30,-42,32,74,7,9,22,"25,33",£1.71m,£570k,"23,38",£23.36m,£1.80m,"24,67",£18.09m,£2.01m,"24,71",£40.23m,£2.37m,/cardiff-city/startseite/verein/603/saison_id/2013
2012,1,manchester united,89,43,86,43,28,5,5,"22,50",£20.93m,£5.23m,"24,00",£146.12m,£10.44m,"26,00",£61.65m,£6.17m,"22,00",£181.71m,£13.98m,/manchester-united/startseite/verein/985/saison_id/2012
2012,2,manchester city,78,32,66,34,23,9,6,"25,75",£24.53m,£6.13m,"24,64",£136.80m,£9.77m,"23,46",£163.26m,£12.56m,"22,40",£144.09m,£14.41m,/manchester-city/startseite/verein/281/saison_id/2012
2012,3,chelsea,75,36,75,39,22,9,7,"31,00",£24.30m,£8.10m,"25,10",£91.35m,£9.14m,"23,67",£150.30m,£12.53m,"24,44",£123.30m,£13.70m,/fc-chelsea/startseite/verein/631/saison_id/2012
2012,4,arsenal,73,35,72,37,21,10,7,"22,60",£15.53m,£3.11m,"22,80",£80.10m,£5.34m,"23,42",£91.80m,£7.65m,"22,80",£76.95m,£7.70m,/fc-arsenal/startseite/verein/11/saison_id/2012
2012,5,tottenham hotspur,72,20,66,46,21,9,8,"30,80",£20.25m,£4.05m,"24,27",£75.42m,£6.86m,"23,71",£86.94m,£6.21m,"22,73",£97.76m,£8.89m,/tottenham-hotspur/startseite/verein/148/saison_id/2012
2012,6,everton,63,15,55,40,16,15,7,"26,33",£4.95m,£1.65m,"25,33",£45.95m,£3.83m,"24,50",£30.38m,£5.06m,"23,38",£31.12m,£3.89m,/fc-everton/startseite/verein/29/saison_id/2012
2012,7,liverpool,61,28,71,43,16,13,9,"25,00",£15.75m,£3.94m,"22,43",£65.70m,£4.69m,"25,00",£90.90m,£9.09m,"19,77",£75.56m,£5.81m,/fc-liverpool/startseite/verein/31/saison_id/2012
2012,8,west bromwich albion,49,-4,53,57,14,7,17,"27,33",£6.53m,£2.18m,"25,91",£17.82m,£1.62m,"24,88",£19.35m,£2.42m,"23,50",£31.05m,£3.11m,/west-bromwich-albion/startseite/verein/984/saison_id/2012
2012,9,swansea city,46,-4,47,51,11,13,14,"27,33",£8.33m,£2.78m,"24,42",£16.88m,£1.41m,"25,67",£13.05m,£2.18m,"25,33",£41.40m,£3.45m,/swansea-city/startseite/verein/2288/saison_id/2012
2012,10,west ham united,46,-8,45,53,12,10,16,"26,67",£1.76m,£585k,"24,18",£19.58m,£1.78m,"25,27",£37.13m,£3.38m,"23,43",£45.90m,£3.28m,/west-ham-united/startseite/verein/379/saison_id/2012
2012,11,norwich city,44,-17,41,58,10,14,14,"23,80",£6.53m,£1.31m,"26,11",£21.96m,£2.44m,"24,82",£18.45m,£1.68m,"24,36",£16.88m,£1.53m,/norwich-city/startseite/verein/1123/saison_id/2012
2012,12,fulham,43,-10,50,60,11,10,17,"28,50",£5.18m,£1.29m,"26,82",£28.26m,£2.57m,"26,73",£44.28m,£2.95m,"24,00",£26.33m,£3.76m,/fc-fulham/startseite/verein/931/saison_id/2012
2012,13,stoke city,42,-11,34,45,9,15,14,"29,50",£5.18m,£1.29m,"26,33",£25.43m,£4.24m,"26,08",£33.39m,£2.78m,"28,75",£25.20m,£3.15m,/stoke-city/startseite/verein/512/saison_id/2012
2012,14,southampton,41,-11,49,60,9,14,15,"28,00",£3.87m,£968k,"24,00",£12.35m,£1.03m,"22,86",£26.28m,£1.88m,"23,20",£19.58m,£1.96m,/fc-southampton/startseite/verein/180/saison_id/2012
2012,15,aston villa,41,-22,47,69,10,11,17,"33,33",£4.73m,£1.58m,"23,33",£15.26m,£1.70m,"22,50",£27.50m,£2.29m,"22,56",£43.45m,£4.83m,/aston-villa/startseite/verein/405/saison_id/2012
2012,16,newcastle united,41,-23,45,68,11,8,19,"26,50",£8.33m,£2.08m,"23,36",£52.83m,£3.77m,"22,77",£67.05m,£5.16m,"23,88",£43.20m,£5.40m,/newcastle-united/startseite/verein/762/saison_id/2012
2012,17,sunderland,39,-13,41,54,9,12,17,"25,50",£6.30m,£3.15m,"25,21",£33.75m,£2.41m,"24,33",£41.18m,£4.58m,"22,92",£35.33m,£2.94m,/afc-sunderland/startseite/verein/289/saison_id/2012
2012,18,wigan athletic,36,-26,47,73,9,9,20,"27,75",£6.75m,£1.69m,"25,79",£28.35m,£2.03m,"24,33",£17.64m,£1.96m,"22,60",£20.61m,£2.06m,/wigan-athletic/startseite/verein/1071/saison_id/2012
2012,19,reading,28,-30,43,73,6,10,22,"24,20",£2.25m,£450k,"25,00",£18.50m,£1.54m,"26,83",£6.75m,£1.13m,"25,33",£12.38m,£1.03m,/fc-reading/startseite/verein/1032/saison_id/2012
2012,20,queens park rangers,25,-30,30,60,4,13,21,"32,75",£17.10m,£4.28m,"26,31",£35.64m,£2.74m,"27,20",£44.10m,£4.41m,"27,91",£47.25m,£4.30m,/queens-park-rangers/startseite/verein/1039/saison_id/2012
2011,1,manchester city,89,64,93,29,28,5,5,"26,00",£16.83m,£5.61m,"24,00",£110.70m,£8.52m,"25,18",£139.50m,£12.68m,"23,56",£148.59m,£16.51m,/manchester-city/startseite/verein/281/saison_id/2011
2011,2,manchester united,89,56,89,33,28,5,5,"24,25",£16.38m,£4.10m,"22,38",£137.93m,£8.62m,"25,45",£79.20m,£7.20m,"23,10",£124.92m,£12.49m,/manchester-united/startseite/verein/985/saison_id/2011
2011,3,arsenal,70,25,74,49,21,7,10,"24,40",£9.00m,£1.80m,"22,75",£67.59m,£5.63m,"22,00",£92.95m,£6.20m,"24,38",£112.10m,£8.62m,/fc-arsenal/startseite/verein/11/saison_id/2011
2011,4,tottenham hotspur,69,25,66,41,20,9,9,"35,67",£12.60m,£4.20m,"24,06",£61.97m,£3.87m,"22,38",£96.44m,£6.03m,"23,87",£113.49m,£7.57m,/tottenham-hotspur/startseite/verein/148/saison_id/2011
2011,5,newcastle united,65,5,56,51,19,8,11,"25,40",£5.72m,£1.14m,"23,09",£26.10m,£2.37m,"23,38",£47.41m,£3.65m,"24,63",£29.25m,£3.66m,/newcastle-united/startseite/verein/762/saison_id/2011
2011,6,chelsea,64,19,65,46,18,10,10,"26,75",£25.20m,£6.30m,"27,33",£132.75m,£14.75m,"23,40",£125.10m,£12.51m,"26,11",£137.70m,£15.30m,/fc-chelsea/startseite/verein/631/saison_id/2011
2011,7,everton,56,10,50,40,15,11,12,"33,00",£12.15m,£4.05m,"26,44",£48.22m,£5.36m,"23,33",£78.75m,£6.56m,"24,50",£32.76m,£2.73m,/fc-everton/startseite/verein/29/saison_id/2011
2011,8,liverpool,52,7,47,40,14,10,14,"27,25",£22.50m,£5.63m,"23,82",£57.83m,£5.26m,"24,50",£76.50m,£9.56m,"24,38",£70.65m,£8.83m,/fc-liverpool/startseite/verein/31/saison_id/2011
2011,9,fulham,52,-3,48,51,14,10,14,"27,50",£4.82m,£1.20m,"27,38",£29.61m,£3.70m,"26,19",£46.62m,£2.91m,"24,00",£25.65m,£3.21m,/fc-fulham/startseite/verein/931/saison_id/2011
2011,10,west bromwich albion,47,-7,45,52,13,8,17,"26,33",£6.64m,£2.21m,"25,71",£26.78m,£1.91m,"24,50",£23.40m,£2.34m,"24,00",£16.43m,£1.83m,/west-bromwich-albion/startseite/verein/984/saison_id/2011
2011,11,swansea city,47,-7,44,51,12,11,15,"29,33",£6.93m,£2.31m,"23,85",£6.12m,£471k,"24,10",£14.27m,£1.43m,"24,13",£9.23m,£1.15m,/swansea-city/startseite/verein/2288/saison_id/2011
2011,12,norwich city,47,-14,52,66,12,11,15,"20,67",£810k,£270k,"24,50",£9.25m,£925k,"24,89",£5.83m,£648k,"25,57",£4.37m,£624k,/norwich-city/startseite/verein/1123/saison_id/2011
2011,13,sunderland,45,-1,45,46,11,12,15,"25,00",£10.58m,£2.64m,"26,67",£49.95m,£3.33m,"23,88",£25.88m,£3.23m,"21,22",£26.15m,£2.91m,/afc-sunderland/startseite/verein/289/saison_id/2011
2011,14,stoke city,45,-17,36,53,11,12,15,"32,00",£6.08m,£2.03m,"27,18",£36.72m,£3.34m,"26,18",£30.15m,£2.74m,"28,14",£34.20m,£4.89m,/stoke-city/startseite/verein/512/saison_id/2011
2011,15,wigan athletic,43,-20,42,62,11,10,17,"29,00",£5.67m,£1.42m,"26,40",£22.50m,£2.25m,"24,22",£19.35m,£2.15m,"22,71",£15.48m,£2.21m,/wigan-athletic/startseite/verein/1071/saison_id/2011
2011,16,aston villa,38,-16,37,53,7,17,14,"32,33",£6.08m,£2.03m,"25,31",£45.95m,£3.53m,"22,15",£39.87m,£3.07m,"24,38",£49.95m,£6.24m,/aston-villa/startseite/verein/405/saison_id/2011
2011,17,queens park rangers,37,-23,43,66,10,7,21,"29,50",£2.75m,£686k,"26,60",£31.01m,£2.07m,"26,50",£18.92m,£1.58m,"26,18",£42.84m,£2.52m,/queens-park-rangers/startseite/verein/1039/saison_id/2011
2011,18,bolton wanderers,36,-31,46,77,10,6,22,"24,50",£4.05m,£1.01m,"25,00",£30.87m,£2.21m,"23,78",£26.73m,£2.97m,"26,00",£26.69m,£2.43m,/bolton-wanderers/startseite/verein/355/saison_id/2011
2011,19,blackburn rovers,31,-30,48,78,8,7,23,"24,50",£5.00m,£1.25m,"25,58",£22.55m,£1.88m,"23,69",£26.46m,£2.04m,"23,88",£27.63m,£3.45m,/blackburn-rovers/startseite/verein/164/saison_id/2011
2011,20,wolverhampton wanderers,25,-42,40,82,5,10,23,"26,33",£3.15m,£1.05m,"25,00",£28.80m,£2.62m,"23,18",£20.03m,£1.82m,"23,25",£23.18m,£1.93m,/wolverhampton-wanderers/startseite/verein/543/saison_id/2011
2010,1,manchester united,80,41,78,37,23,11,4,"28,25",£8.46m,£2.12m,"25,08",£132.12m,£10.16m,"23,60",£95.27m,£6.35m,"22,27",£109.89m,£9.99m,/manchester-united/startseite/verein/985/saison_id/2010
2010,2,chelsea,71,36,69,33,21,8,9,"29,00",£25.43m,£8.48m,"24,17",£116.15m,£9.68m,"22,11",£111.69m,£12.41m,"25,67",£148.28m,£16.48m,/fc-chelsea/startseite/verein/631/saison_id/2010
2010,3,manchester city,71,27,60,33,21,8,9,"28,25",£17.10m,£4.28m,"21,95",£94.30m,£4.96m,"24,10",£100.04m,£10.00m,"23,58",£132.84m,£11.07m,/manchester-city/startseite/verein/281/saison_id/2010
2010,4,arsenal,68,29,72,43,19,11,8,"26,50",£12.13m,£2.02m,"23,89",£66.60m,£7.40m,"21,33",£112.14m,£9.35m,"23,43",£83.07m,£11.87m,/fc-arsenal/startseite/verein/11/saison_id/2010
2010,5,tottenham hotspur,62,9,55,46,16,14,8,"28,00",£12.67m,£2.53m,"24,29",£81.29m,£5.81m,"23,50",£92.34m,£9.23m,"24,78",£80.10m,£8.90m,/tottenham-hotspur/startseite/verein/148/saison_id/2010
2010,6,liverpool,58,15,59,44,17,7,14,"24,40",£21.24m,£4.25m,"22,73",£70.25m,£4.68m,"25,33",£122.58m,£13.62m,"22,62",£114.89m,£8.84m,/fc-liverpool/startseite/verein/31/saison_id/2010
2010,7,everton,54,6,51,45,13,15,10,"28,00",£11.88m,£3.96m,"24,70",£41.92m,£4.19m,"22,78",£69.98m,£7.78m,"22,90",£36.90m,£3.69m,/fc-everton/startseite/verein/29/saison_id/2010
2010,8,fulham,49,6,49,43,11,16,11,"30,00",£4.59m,£1.15m,"26,60",£30.24m,£3.02m,"28,45",£39.87m,£3.62m,"26,22",£26.06m,£2.90m,/fc-fulham/startseite/verein/931/saison_id/2010
2010,9,aston villa,48,-11,48,59,12,12,14,"33,00",£4.73m,£1.58m,"24,92",£62.93m,£4.84m,"24,00",£75.67m,£4.45m,"24,67",£43.65m,£7.28m,/aston-villa/startseite/verein/405/saison_id/2010
2010,10,sunderland,47,-11,45,56,12,11,15,"23,67",£7.43m,£2.48m,"24,88",£44.35m,£2.77m,"23,09",£46.04m,£4.19m,"22,33",£25.79m,£2.87m,/afc-sunderland/startseite/verein/289/saison_id/2010
2010,11,west bromwich albion,47,-15,56,71,12,11,15,"28,00",£7.18m,£1.79m,"24,80",£30.92m,£2.06m,"22,43",£13.50m,£1.93m,"23,27",£24.93m,£2.27m,/west-bromwich-albion/startseite/verein/984/saison_id/2010
2010,12,newcastle united,46,-1,56,57,11,13,14,"24,50",£3.11m,£776k,"24,70",£22.50m,£2.25m,"22,69",£48.74m,£3.75m,"23,55",£11.75m,£1.07m,/newcastle-united/startseite/verein/762/saison_id/2010
2010,13,stoke city,46,-2,46,48,13,7,18,"31,00",£5.18m,£1.73m,"25,92",£25.52m,£2.13m,"25,80",£17.15m,£1.71m,"28,38",£38.93m,£4.87m,/stoke-city/startseite/verein/512/saison_id/2010
2010,14,bolton wanderers,46,-4,52,56,12,10,16,"26,25",£5.22m,£1.31m,"26,90",£28.35m,£2.84m,"24,22",£24.53m,£2.73m,"24,73",£25.97m,£2.36m,/bolton-wanderers/startseite/verein/355/saison_id/2010
2010,15,blackburn rovers,43,-13,46,59,11,10,17,"26,25",£5.45m,£1.36m,"26,70",£20.97m,£2.10m,"23,19",£32.63m,£2.04m,"26,29",£26.55m,£3.79m,/blackburn-rovers/startseite/verein/164/saison_id/2010
2010,16,wigan athletic,42,-21,40,61,9,15,14,"28,00",£5.85m,£1.46m,"24,42",£20.03m,£1.67m,"22,40",£13.95m,£1.40m,"23,56",£25.07m,£2.79m,/wigan-athletic/startseite/verein/1071/saison_id/2010
2010,17,wolverhampton wanderers,40,-20,46,66,11,7,20,"30,00",£4.41m,£1.10m,"22,81",£23.36m,£1.46m,"23,30",£18.95m,£1.89m,"23,08",£22.41m,£1.87m,/wolverhampton-wanderers/startseite/verein/543/saison_id/2010
2010,18,birmingham city,39,-21,37,58,8,15,15,"30,00",£3.65m,£1.22m,"26,00",£22.73m,£2.27m,"24,73",£35.01m,£3.18m,"25,60",£31.23m,£3.12m,/birmingham-city/startseite/verein/337/saison_id/2010
2010,19,blackpool,39,-23,55,78,10,9,19,"25,20",£1.62m,£324k,"21,50",£7.11m,£508k,"21,08",£10.67m,£889k,"25,86",£14.90m,£1.06m,/fc-blackpool/startseite/verein/1181/saison_id/2010
2010,20,west ham united,33,-27,43,70,7,12,19,"22,00",£7.79m,£1.95m,"25,69",£37.40m,£2.88m,"26,89",£46.35m,£5.15m,"23,57",£51.53m,£3.68m,/west-ham-united/startseite/verein/379/saison_id/2010
2009,1,chelsea,86,71,103,32,27,5,6,"24,20",£27.23m,£5.45m,"25,82",£115.65m,£10.51m,"25,89",£155.75m,£17.31m,"23,45",£101.07m,£9.19m,/fc-chelsea/startseite/verein/631/saison_id/2009
2009,2,manchester united,85,58,86,28,27,4,7,"27,50",£10.44m,£2.61m,"24,50",£120.02m,£10.00m,"24,62",£92.07m,£7.08m,"21,36",£104.13m,£9.47m,/manchester-united/startseite/verein/985/saison_id/2009
2009,3,arsenal,75,42,83,41,23,6,9,"22,80",£10.71m,£2.14m,"23,53",£73.08m,£4.87m,"19,81",£93.06m,£5.82m,"21,56",£76.05m,£8.45m,/fc-arsenal/startseite/verein/11/saison_id/2009
2009,4,tottenham hotspur,70,26,67,41,21,7,10,"28,00",£9.41m,£1.88m,"23,00",£62.19m,£4.44m,"22,10",£71.24m,£7.12m,"22,58",£81.45m,£6.79m,/tottenham-hotspur/startseite/verein/148/saison_id/2009
2009,5,manchester city,67,28,73,45,18,13,7,"26,20",£16.70m,£3.34m,"23,86",£85.05m,£6.08m,"22,67",£59.18m,£6.58m,"24,58",£122.49m,£10.21m,/manchester-city/startseite/verein/281/saison_id/2009
